facilityName,unitNumber,firstName,lastName,phone,email,rentStartDate,rentEndDate,monthlyRent,currentRentOwed,currentRentOwedDueDate
Dallas North,1000,Alice,Johnson,555-123-4567,alice.johnson@example.com,2025-01-01T00:00:00Z,2025-12-31T23:59:59Z,155,0,
Dallas North,1001,Bob,Smith,555-234-5678,bob.smith@example.com,2025-02-15T00:00:00Z,2025-11-30T23:59:59Z,140,70,2025-08-15T00:00:00Z
Dallas South,1000,Carla,Gonzalez,555-345-6789,carla.gonzalez@example.com,2025-03-01T00:00:00Z,2025-09-30T23:59:59Z,120,0,
Dallas South,1001,Daniel,Lee,555-456-7890,daniel.lee@example.com,2025-04-01T00:00:00Z,2025-10-31T23:59:59Z,110,110,2025-08-10T00:00:00Z
Dallas South,1002,Elena,Martinez,555-567-8901,elena.martinez@example.com,2025-05-05T00:00:00Z,2025-12-31T23:59:59Z,130,0,
Austin Central,2000,Frank,Nguyen,555-678-9012,frank.nguyen@example.com,2025-01-10T00:00:00Z,2025-12-31T23:59:59Z,180,360,2025-08-01T00:00:00Z
Austin Central,2001,Gina,Patel,555-789-0123,gina.patel@example.com,2025-02-20T00:00:00Z,2025-11-30T23:59:59Z,200,0,
Houston East,3000,Hector,Ramos,555-890-1234,hector.ramos@example.com,2025-03-15T00:00:00Z,2025-09-14T23:59:59Z,145,145,2025-08-05T00:00:00Z
Houston East,3001,Ivy,Chen,555-901-2345,ivy.chen@example.com,2025-04-10T00:00:00Z,2025-10-09T23:59:59Z,160,0,
Houston East,3002,Jack,Williams,555-012-3456,jack.williams@example.com,2025-05-01T00:00:00Z,2025-11-30T23:59:59Z,155,155,2025-08-20T00:00:00Z
